Unnamed: 0,Año,Trimestre,Provincia,Velocidad_Media,Objetivo_KPI
496,2017,4,Salta,845.0,22081.25
497,2017,4,San Juan,583.0,15203.75
498,2017,4,San Luis,573.0,14941.25
499,2017,4,Santa Cruz,521.0,13576.250000000002
500,2017,4,Santa Fe,1.03,-72.96249999999999
501,2017,4,Santiago Del Estero,617.0,16096.25
502,2017,4,Tierra Del Fuego,520.0,13550.0
503,2017,4,Tucumán,911.0,23813.75
504,2017,3,Buenos Aires,843.0,29405.0
505,2017,3,Capital Federal,1.064,-62.75999999999999
506,2017,3,Catamarca,526.0,18310.000000000004
507,2017,3,Chaco,848.0,29580.0
508,2017,3,Chubut,348.0,12080.000000000002
509,2017,3,Córdoba,912.0,31820.0
510,2017,3,Corrientes,745.0,25975.0
511,2017,3,Entre Ríos,699.0,24365.0
512,2017,3,Formosa,707.0,24645.0
513,2017,3,Jujuy,469.0,16315.0
514,2017,3,La Pampa,344.0,11940.0
515,2017,3,La Rioja,501.0,17435.000000000004
516,2017,3,Mendoza,351.0,12185.0
517,2017,3,Misiones,843.0,29405.0
518,2017,3,Neuquén,817.0,28495.0
519,2017,3,Río Negro,549.0,19115.0
520,2017,3,Salta,613.0,21355.0
521,2017,3,San Juan,345.0,11975.0
522,2017,3,San Luis,350.0,12150.0
523,2017,3,Santa Cruz,361.0,12535.0
524,2017,3,Santa Fe,779.0,27165.000000000004
525,2017,3,Santiago Del Estero,518.0,18030.0
526,2017,3,Tierra Del Fuego,348.0,12080.000000000002
527,2017,3,Tucumán,639.0,22265.0
528,2017,2,Buenos Aires,720.0,37700.0
529,2017,2,Capital Federal,884.0,46310.0
530,2017,2,Catamarca,510.0,26675.0
531,2017,2,Chaco,769.0,40272.5
532,2017,2,Chubut,345.0,18012.5
533,2017,2,Córdoba,742.0,38855.0
534,2017,2,Corrientes,679.0,35547.5
535,2017,2,Entre Ríos,629.0,32922.5
536,2017,2,Formosa,618.0,32345.0
537,2017,2,Jujuy,454.0,23735.000000000004
538,2017,2,La Pampa,332.0,17330.0
539,2017,2,La Rioja,553.0,28932.5
540,2017,2,Mendoza,351.0,18327.5
541,2017,2,Misiones,760.0,39800.0
542,2017,2,Neuquén,670.0,35075.0
543,2017,2,Río Negro,474.0,24785.000000000004
544,2017,2,Salta,576.0,30140.000000000004
545,2017,2,San Juan,349.0,18222.5
546,2017,2,San Luis,350.0,18275.0
547,2017,2,Santa Cruz,360.0,18800.0
548,2017,2,Santa Fe,684.0,35810.0
549,2017,2,Santiago Del Estero,506.0,26465.000000000004
550,2017,2,Tierra Del Fuego,348.0,18170.0
551,2017,2,Tucumán,609.0,31872.500000000004
552,2017,1,Buenos Aires,668.0,70040.0
553,2017,1,Capital Federal,835.0,87575.0
554,2017,1,Catamarca,497.0,52085.0
555,2017,1,Chaco,731.0,76655.0
556,2017,1,Chubut,344.0,36020.0
557,2017,1,Córdoba,680.0,71300.0
558,2017,1,Corrientes,643.0,67415.0
559,2017,1,Entre Ríos,595.0,62375.0
560,2017,1,Formosa,574.0,60170.00000000001
561,2017,1,Jujuy,439.0,45995.00000000001
562,2017,1,La Pampa,322.0,33710.0
563,2017,1,La Rioja,543.0,56915.0
564,2017,1,Mendoza,351.0,36755.0
565,2017,1,Misiones,734.0,76970.0
566,2017,1,Neuquén,603.0,63215.0
567,2017,1,Río Negro,445.0,46625.0
568,2017,1,Salta,534.0,55970.00000000001
569,2017,1,San Juan,349.0,36545.0
